CSD_identifier,la_smiles,ca_class,la_atom_count,picked_for_fia_calculation,la_xyz_successfully_generated,part_of_the_final_fia2k_csd_dataset
ATEZIJ,[H]c1c([H])c([H])c(C#Cc2c([H])c([H])c([H])c([H])c2B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c([H])c1[H],B(III),64.0,False,not_attempted,False
ATEZOP,[H]c1nc(C#Cc2c([H])c([H])c([H])c([H])c2B(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c([H])c([H])c1[H],B(III),63.0,False,not_attempted,False
ATUBIB,[H]O[C@@]([H])(C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])[C@]1(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)O[C@@]1([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],B(III),59.0,False,not_attempted,False
ATUFAX,[H]C1=C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C([H])=C2C1=C(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H],B(III),52.0,False,not_attempted,False
ATUFEB,[H]C1=C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C([H])=C2C1=C(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]2([H])C([H])([H])[H],B(III),49.0,False,not_attempted,False
AVALEP,[H]c1c([H])c([H])c(N([H])[H])c(B2OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O2)c1[H],B(III),34.0,False,not_attempted,False
AVIGUK,[H]c1c([H])c(B2N([H])c3c([H])c([H])c([H])c4c([H])c([H])c([H])c(c34)N2[H])c([H])c2c1OC([H])([H])O2,B(III),35.0,True,True,True
AVIHAR,[H]c1c([H])c(B2N([H])c3c([H])c([H])c([H])c4c([H])c([H])c([H])c(c34)N2[H])c([H])c(OC([H])([H])[H])c1OC([H])([H])[H],B(III),40.0,False,not_attempted,False
AVIHEV,[H]c1c([H])c(C(=O)OC([H])([H])[H])c([H])c([H])c1B1N([H])c2c([H])c([H])c([H])c3c([H])c([H])c([H])c(c23)N1[H],B(III),38.0,False,not_attempted,False
AVIWUX,[H]c1nc2c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c([H])c(B3OC(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])O3)c2c([H])c1[H],B(III),51.0,False,not_attempted,False
AVOTIO,[H]OB(O[H])c1c([H])nc([H])nc1[H],B(III),14.0,True,True,True
